Distrito;Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
FORTALEZA/CE SUL;1198;503766668;29/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1366;710062979;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1366;710076997;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1431;710062765;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1584;710062920;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1079;503737133;25/08/2026;Faturamento Manual;4121137;BARRA FRUTA NUTRY BAN/AMEIXA C/CHOC C/3;24;R$ 100,80
FORTALEZA/CE SUL;5056;710076448;28/08/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;16;R$ 82,88
FORTALEZA/CE SUL;L433;710076930;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;L311;710076925;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;5056;710076448;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;L333;710076278;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;5271;710076279;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;L280;710076994;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;5290;710076928;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;1393;710076777;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;1078;503759611;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;1109;710076812;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;5300;710077092;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 77,00
FORTALEZA/CE SUL;1198;503739347;25/08/2026;Faturamento Manual;4276053;TORRADA INTEGRAL 120G VISCONTI;32;R$ 75,84
FORTALEZA/CE SUL;1393;710076918;28/08/2026;Faturamento Manual;4287463;TORCIDA CHURRASCO 100G PEPSICO PP;27;R$ 73,17
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4287463;TORCIDA CHURRASCO 100G PEPSICO PP;27;R$ 73,17
FORTALEZA/CE SUL;5056;710076448;28/08/2026;Faturamento Manual;4287463;TORCIDA CHURRASCO 100G PEPSICO PP;27;R$ 73,17
FORTALEZA/CE SUL;1109;710076812;28/08/2026;Faturamento Manual;4287463;TORCIDA CHURRASCO 100G PEPSICO PP;27;R$ 73,17
FORTALEZA/CE SUL;1109;710076812;28/08/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;14;R$ 72,52
FORTALEZA/CE SUL;1393;710076918;28/08/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;14;R$ 72,52
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;14;R$ 72,52
FORTALEZA/CE SUL;1198;503766667;29/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;9;R$ 54,72
FORTALEZA/CE SUL;5492;710060049;25/08/2026;Faturamento Manual;4303991;PAO DE FORMA TRADICIONAL 390G BAUDUCCO;10;R$ 50,10
FORTALEZA/CE SUL;1393;710076918;28/08/2026;Faturamento Manual;4328804;CREME LOVE DIANA COM SURPRESA 18G;4;R$ 46,88
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4328804;CREME LOVE DIANA COM SURPRESA 18G;4;R$ 46,88
FORTALEZA/CE SUL;1109;710076812;28/08/2026;Faturamento Manual;4328804;CREME LOVE DIANA COM SURPRESA 18G;4;R$ 46,88
FORTALEZA/CE SUL;5056;710076448;28/08/2026;Faturamento Manual;4328804;CREME LOVE DIANA COM SURPRESA 18G;4;R$ 46,88
FORTALEZA/CE SUL;1078;503759611;28/08/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;6;R$ 38,05
FORTALEZA/CE SUL;1498;503743269;26/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1079;503753055;27/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1583;503766664;29/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1324;503743270;26/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1198;503766663;29/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;5494;503766666;29/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1123;503764767;29/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1121;503764766;29/08/2026;Faturamento Manual;4310333;BISNAGUINHA TRADICIONAL 240G VISCONTI;9;R$ 36,55
FORTALEZA/CE SUL;1431;710062765;26/08/2026;Faturamento Manual;4018365;CERV BRAHMA CHOPP LATA 350ML;12;R$ 32,16
FORTALEZA/CE SUL;1198;503766668;29/08/2026;Faturamento Manual;4018365;CERV BRAHMA CHOPP LATA 350ML;12;R$ 32,16
FORTALEZA/CE SUL;1366;710062979;26/08/2026;Faturamento Manual;4018365;CERV BRAHMA CHOPP LATA 350ML;12;R$ 32,16
FORTALEZA/CE SUL;1396;710062891;26/08/2026;Faturamento Manual;4018365;CERV BRAHMA CHOPP LATA 350ML;12;R$ 32,16
FORTALEZA/CE SUL;L433;710076930;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 29,12
FORTALEZA/CE SUL;5300;710077092;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;1109;710076812;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;5290;710076928;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;5271;710076279;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;1109;503759186;28/08/2026;Faturamento Manual;4315035;TORCIDA PIMENTA MEXICANA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;5056;710076448;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;L280;710076994;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;L311;710076925;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;1393;710076777;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;L333;710076278;28/08/2026;Faturamento Manual;4315052;TORCIDA CEBOLA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;L486;710044698;22/08/2026;Faturamento Manual;4315035;TORCIDA PIMENTA MEXICANA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;1078;710044776;22/08/2026;Faturamento Manual;4315035;TORCIDA PIMENTA MEXICANA 35G PEPSICO;26;R$ 28,08
FORTALEZA/CE SUL;1198;503739224;25/08/2026;Faturamento Manual;4270182;TONICA ANTARCTICA DIET LT 350ML;12;R$ 26,40
FORTALEZA/CE SUL;1324;503743183;26/08/2026;Faturamento Manual;4270182;TONICA ANTARCTICA DIET LT 350ML;12;R$ 26,40
