Distrito;Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
PE NORTE;L439;710088720;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PARAIBA/PE;1376;710088898;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;1041;710088897;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE SUL;L326;710088556;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PARAIBA/PE;L601;710088901;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PARAIBA/PE;1001;710088557;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;L627;710089360;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;1004;710088796;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;L589;710089064;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;L720;710089318;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
RN/PB;1329;710088724;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 599,40
PE NORTE;1004;710054323;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;180;R$ 599,40
PARAIBA/PE;L159;710089890;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 599,40
PARAIBA/PE;1595;710084196;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 599,40
RN/PB;L226;710088701;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 599,40
RN/PB;1126;710089889;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 599,40
FORTALEZA/CE SUL;1109;503759191;28/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;180;R$ 595,80
FORTALEZA/CE OESTE;1114;503737960;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;180;R$ 595,80
PE SUL;L141;710089550;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;83;R$ 556,93
PE SUL;5241;710089957;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 543,51
PE NORTE;5206;710088738;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 543,51
PE NORTE;5410;710089357;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 543,51
PE NORTE;5347;710088850;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 543,51
PE NORTE;L717;710088799;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 543,51
PE NORTE;L644;710088798;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 543,51
RN/PB;5444;710088804;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE OESTE;L498;710088944;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1198;710088736;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE OESTE;1130;710088558;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1121;710089894;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1583;710090091;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;5494;710089886;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1123;710088792;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1079;710089956;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE OESTE;5491;710089361;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE OESTE;1150;710088793;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
RN/PB;5486;503768016;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
RN/PB;1459;503765210;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1535;710089719;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
RN/PB;1445;503768015;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE OESTE;L485;710089556;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
FORTALEZA/CE SUL;1498;710089885;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;81;R$ 539,45
PE SUL;L247;503763479;29/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 399,60
PE SUL;L481;710054158;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 399,60
FORTALEZA/CE SUL;L107;503758927;28/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE OESTE;L484;503742765;26/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE OESTE;1560;503743289;26/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
PIAUI/CE NORTE;1501;710054132;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE OESTE;L275;710054432;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
RN/PB;1580;710054154;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE OESTE;L047;710054322;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE OESTE;L327;710054431;25/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
FORTALEZA/CE SUL;1396;709936597;04/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;63;R$ 357,84
PIAUI/CE NORTE;1019;710076954;28/08/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;50;R$ 317,00
PIAUI/CE NORTE;1492;503739204;25/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;49;R$ 253,82
PIAUI/CE NORTE;5333;503731911;24/08/2026;Faturamento Manual;4276053;TORRADA INTEGRAL 120G VISCONTI;105;R$ 248,85
PARAIBA/PE;1224;503759177;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PARAIBA/PE;1314;710083374;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE NORTE;L439;710062917;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE NORTE;L432;710063638;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE SUL;5205;710063899;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE SUL;L247;503763495;29/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PARAIBA/PE;L706;710063069;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE SUL;L481;710063070;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE NORTE;1419;503768715;30/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE NORTE;L056;710063072;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE SUL;L123;710064035;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PE NORTE;1502;710064034;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
PIAUI/CE NORTE;L418;710063897;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;L047;710063898;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PIAUI/CE NORTE;5307;710063073;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;1114;503762816;29/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;L275;710064226;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;L107;503758928;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;L484;710063643;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PIAUI/CE NORTE;1501;710064285;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PARAIBA/PE;1134;710076920;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;L486;503759238;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;5469;710064037;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;L327;710077106;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PARAIBA/PE;1009;710064224;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1079;503753758;27/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
RN/PB;5266;710064286;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE OESTE;1560;710064288;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PARAIBA/PE;1602;710067761;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
RN/PB;5331;710064032;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1078;503759237;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
FORTALEZA/CE SUL;1109;503771526;31/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PARAIBA/PE;1252;710063630;26/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
PIAUI/CE NORTE;1007;503762491;29/08/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
PIAUI/CE NORTE;1063;710063101;26/08/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;60;R$ 198,60
FORTALEZA/CE SUL;1078;503759611;28/08/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
FORTALEZA/CE OESTE;1047;710076515;28/08/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
PARAIBA/PE;1141;503776414;01/09/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 182,28
PIAUI/CE NORTE;1007;503762491;29/08/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;28;R$ 177,52
FORTALEZA/CE OESTE;1047;710076515;28/08/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;28;R$ 177,52
PARAIBA/PE;1141;710032287;20/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 177,48
FORTALEZA/CE SUL;1109;503771526;31/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1079;503766670;29/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1109;503759191;28/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE OESTE;1114;503737959;25/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
FORTALEZA/CE SUL;1393;710076918;28/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;28;R$ 176,68
PIAUI/CE NORTE;1019;710076954;28/08/2026;Faturamento Manual;4315207;SALG PINGO DOURO BACON 160G ELMA CHIPS;26;R$ 164,06
FORTALEZA/CE SUL;1324;503743183;26/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
PIAUI/CE NORTE;1063;503750239;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE OESTE;L665;503750240;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE OESTE;L362;503750241;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;34;R$ 162,52
FORTALEZA/CE SUL;5274;503750244;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;1552;503750246;27/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
PARAIBA/PE;1595;710042060;22/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE OESTE;5284;503743265;26/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE SUL;5294;503759185;28/08/2026;Faturamento Manual;4293121;BISNAGUINHA 260G BAUDUCCO;33;R$ 157,74
FORTALEZA/CE OESTE;5011;503708610;19/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
PIAUI/CE NORTE;1492;503739204;25/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
FORTALEZA/CE OESTE;1570;503708609;19/08/2026;Faturamento Manual;4307554;BATATA FRIT RUSTIC CREAM CHEESE 68G LAYS;30;R$ 155,40
PE NORTE;1097;710062893;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 152,40
PE SUL;1385;710063576;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 152,40
PE NORTE;1097;710077043;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
PE SUL;1385;710076980;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 152,40
FORTALEZA/CE SUL;1366;710062979;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;5274;710062890;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE OESTE;5284;710062922;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;L107;503758927;28/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1431;710062765;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
PIAUI/CE NORTE;1063;710077105;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
FORTALEZA/CE OESTE;1114;503737959;25/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE OESTE;L047;710054322;25/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1396;710062891;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1198;503766668;29/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
PIAUI/CE NORTE;1063;710062867;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
PIAUI/CE NORTE;1501;710054132;25/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1552;710062923;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1366;710076997;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
FORTALEZA/CE OESTE;1560;503743289;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
RN/PB;1580;710054154;25/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1584;710062920;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1198;710076917;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
PE SUL;1589;710062921;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
PARAIBA/PE;1595;710062665;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
RN/PB;1200;710077041;28/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;60;R$ 151,20
RN/PB;5261;710063102;26/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
FORTALEZA/CE SUL;1109;503759191;28/08/2026;Faturamento Manual;4327833;BOLINHO ANA MARIA MORANGO 70G BIMBO;60;R$ 151,20
PARAIBA/PE;1141;503776414;01/09/2026;Faturamento Manual;4315144;DORITOS SWEET CHILI 75G ELMA CHIPS M;25;R$ 129,50
FORTALEZA/CE OESTE;1570;503708591;19/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;25;R$ 129,50
FORTALEZA/CE OESTE;5011;503708608;19/08/2026;Faturamento Manual;4315061;DORITOS QUEIJO NACHO 75G ELMA CHIPS M;25;R$ 129,50
PE SUL;L123;710044760;22/08/2026;Faturamento Manual;4315144;DORITOS SWEET CHILI 75G ELMA CHIPS M;25;R$ 129,50
PARAIBA/PE;1401;503758381;28/08/2026;Faturamento Manual;4315144;DORITOS SWEET CHILI 75G ELMA CHIPS M;25;R$ 129,50
PARAIBA/PE;1141;503776413;01/09/2026;Faturamento Manual;4316927;SALG TOSTITOS PIM MEX 110G ELMA CHIPS;25;R$ 125,50
PARAIBA/PE;1141;503776413;01/09/2026;Faturamento Manual;4315050;BATATA LAYS CLASSICA 115G PEPSICO;15;R$ 116,55
PIAUI/CE NORTE;1063;503750242;27/08/2026;Faturamento Manual;4315216;DORITOS QUEIJO NACHO 120G ELMA CHIPS G;14;R$ 109,06
PIAUI/CE NORTE;1019;710076954;28/08/2026;Faturamento Manual;4315050;BATATA LAYS CLASSICA 115G PEPSICO;14;R$ 108,78
PE NORTE;L720;710059777;25/08/2026;Faturamento Manual;4314180;ESCOVA SECADORA ES-05 BIVOLT MONDIAL;1;R$ 105,60
PARAIBA/PE;1314;710032295;20/08/2026;Faturamento Manual;4121137;BARRA FRUTA NUTRY BAN/AMEIXA C/CHOC C/3;24;R$ 100,81
PARAIBA/PE;1141;710040903;22/08/2026;Faturamento Manual;4276053;TORRADA INTEGRAL 120G VISCONTI;32;R$ 92,80
PARAIBA/PE;1141;503776414;01/09/2026;Faturamento Manual;4276053;TORRADA INTEGRAL 120G VISCONTI;32;R$ 92,80
PARAIBA/PE;1401;503758380;28/08/2026;Faturamento Manual;4316512;DORITOS DINAMITA PI MEX 60G ELMA CHIPS P;36;R$ 87,48
PARAIBA/PE;1141;503776414;01/09/2026;Faturamento Manual;4316512;DORITOS DINAMITA PI MEX 60G ELMA CHIPS P;36;R$ 87,48
FORTALEZA/CE SUL;5056;710076448;28/08/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;16;R$ 82,88
PE SUL;L672;710076996;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
PE SUL;L141;710076762;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
FORTALEZA/CE SUL;L433;710076930;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
PE SUL;L123;710071373;27/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
PE NORTE;1419;710076707;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
PE NORTE;L639;710076933;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
PE NORTE;L590;710076929;28/08/2026;Faturamento Manual;4315313;BACONZITOS 86G ELMA CHIPS M;14;R$ 79,10
